firm,man,mh,mms,q,firm.q
tata,tata motors limited,tata,tata eng.(ind),6,2204
tata,tata motors limited,tata,tata motors limited,928,2204
tata,tata motors limited,tata,tata motors ltd,63,2204
tata,tata motors limited,tata,tata motors ltd - melian italia srl,329,2204
tata,tata motors limited,tata,tata motors ltd.,461,2204
tata,tata motors limited,tata,tata saf doc 1 i a,1,2204
tata,tata motors limited,tata,tazzari gl spa,7,2204
tata,tata motors limited,unknown,tata eng.(ind),4,2204
mahindra,mahindra & mahindra ltd,mahindra,,1,2783
mahindra,mahindra & mahindra ltd,mahindra,mahindra,17,2783
mahindra,mahindra & mahindra ltd,mahindra,mahindra & mahindra ltd,268,2783
mahindra,mahindra & mahindra ltd,mahindra,mahindra & mahindra ltd.,1953,2783
mahindra,mahindra & mahindra ltd,mahindra,mahindra & mahindra ltd/mahindra europe,65,2783
mahindra,mahindra & mahindra ltd,mahindra,mahindra (ind),2,2783
mahindra,mahindra & mahindra ltd,mahindra,mahindra ltd.,1,2783
mahindra,mahindra & mahindra ltd,mahindra,mahindra&amp;mahindra ltd,127,2783
mahindra,mahindra & mahindra ltd,mahindra,mahindra&mahindra ltd,341,2783
mahindra,mahindra & mahindra ltd,mahindra,maserati,3,2783
mahindra,aa-iva,aa-iva,mahindra (ind),1,2783
mahindra,mahindra & mahindra ltd,unknown,mahindra (ind),1,2783
mahindra,aa-iva,aa-iva,mahindra & mahindra ltd.,3,2783
morgan,aa-nss,aa-nss,morgan,40,3171
morgan,aa-nss,duplicate,morgan,1,3171
morgan,morgan motor co ltd,morgan,,2,3171
morgan,morgan motor co ltd,morgan,morgan,662,3171
morgan,morgan motor co ltd,morgan,morgan (gb),218,3171
morgan,morgan motor co ltd,morgan,morgan motor co ltd,200,3171
morgan,morgan motor co ltd,morgan,morgan motor company limited,121,3171
morgan,morgan motor co ltd,morgan,"morgan motor company limited pickersleigh roadmalvern linkworcestershire wr14 2ll, england",2,3171
morgan,morgan motor co ltd,morgan,morgan motor company ltd,48,3171
morgan,morgan motor co ltd,morgan,morgan technologies ltd,3,3171
morgan,morgan technologies ltd,duplicate,morgan,4,3171
morgan,morgan technologies ltd,morgan,morgan,1018,3171
morgan,morgan technologies ltd,morgan,morgan (gb),326,3171
morgan,morgan technologies ltd,morgan,morgan motor co ltd,141,3171
morgan,morgan technologies ltd,morgan,morgan motor company limited,66,3171
morgan,morgan technologies ltd,morgan,morgan motor company ltd,13,3171
morgan,morgan technologies ltd,morgan,morgan motor company manufacturing ltd,1,3171
morgan,morgan technologies ltd,morgan,morgan technologies,1,3171
morgan,morgan technologies ltd,morgan,morgan technologies limited,39,3171
morgan,morgan technologies ltd,morgan,morgan technologies ltd,146,3171
morgan,aa-iva,aa-iva,morgan (gb),14,3171
morgan,morgan motor co ltd,unknown,morgan (gb),78,3171
morgan,morgan technologies ltd,duplicate,morgan (gb),2,3171
morgan,morgan technologies ltd,duplicate,morgan motor co ltd,2,3171
morgan,morgan technologies ltd,duplicate,morgan technologies ltd,1,3171
morgan,aa-iva,aa-iva,morgan technologies limited,14,3171
morgan,aa-iva,aa-iva,morgan motor company limited,8,3171
gtf innovations,gtf innovations sas,gtf innovations,"adam opel ag, bahnhofsplatz 1, 65423 russelsheim am main, njemaäka",229,3758
gtf innovations,gtf innovations sas,gtf innovations,"adam opel ag, bahnhofsplatz 1, d-65423, russelsheim, njemaäka",178,3758
gtf innovations,gtf innovations sas,gtf innovations,"adam opel ag, bahnhofsplatz, 65423 russelsheim am main, njemaäka",3291,3758
gtf innovations,gtf innovations sas,gtf innovations,"adam opel gmbh, bahnhofsplatz 1, d-65423, russelsheim, njemaäka",60,3758
mclaren,mclaren automotive limite,mclaren,,5,3885
mclaren,mclaren automotive limited,mclaren,,8,3885
mclaren,mclaren automotive limited,mclaren,giantco,1,3885
mclaren,mclaren automotive limited,mclaren,mclaren,2640,3885
mclaren,mclaren automotive limited,mclaren,mclaren (gb),770,3885
mclaren,mclaren automotive limited,mclaren,mclaren automotive,1,3885
mclaren,mclaren automotive limited,mclaren,mclaren automotive limite,1,3885
mclaren,mclaren automotive limited,mclaren,mclaren automotive limited,122,3885
mclaren,mclaren automotive limited,mclaren,mclaren automotive ltd,248,3885
mclaren,mclaren automotive limited,mclaren,mclaren automotive ltd e,11,3885
mclaren,mclaren automotive limited,mclaren,mclaren automotive ltd woking england gu21 4yh,1,3885
mclaren,mclaren automotive limited,mclaren,other british,8,3885
mclaren,aa-iva,aa-iva,mclaren (gb),16,3885
mclaren,mclaren automotive limited,duplicate,mclaren (gb),1,3885
mclaren,mclaren automotive limited,unknown,mclaren (gb),47,3885
mclaren,aa-iva,aa-iva,mclarenautomotiveltd.,1,3885
mclaren,aa-iva,aa-iva,mclaren automotive limited,1,3885
mclaren,mclaren automotive limited,duplicate,mclaren automotive limited,3,3885
daihatsu,daihatsu,daihatsu,,167,3947
daihatsu,daihatsu motor co ltd,daihatsu,,182,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu,317,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu (j),1266,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu j1 2(j102?g) 2(gmxfw)- terios,1,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu j2 2 j210l(r)g 1 gmdfw,1,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu m3 1 m300 1 gmnew,1,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu m3 2 m301 1 gmgew,1,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu m4 m402l(r)s gmgew,1,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu motor co,161,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu motor co ltd,173,3947
daihatsu,daihatsu motor co ltd,daihatsu,daihatsu motor co.,1520,3947
daihatsu,daihatsu motor co ltd,daihatsu,"daihatsu motor co., ltd.",96,3947
daihatsu,daihatsu motor co ltd,daihatsu,n/a,2,3947
daihatsu,daihatsu motor co ltd,fuji heavy industries,daihatsu,12,3947
daihatsu,daihatsu motor co ltd,out of scope,daihatsu,35,3947
daihatsu,out of scope,out of scope,daihatsu,1,3947
daihatsu,daihatsu motor co ltd,out of scope,daihatsu (j),1,3947
daihatsu,daihatsu motor co ltd,unknown,daihatsu (j),1,3947
daihatsu,out of scope,out of scope,daihatsu (j),1,3947
daihatsu,daihatsu motor co ltd,out of scope,daihatsu motor co.,1,3947
daihatsu,daihatsu motor co ltd,out of scope,,4,3947
daihatsu,daihatsu motor co ltd,out of scope,"daihatsu motor co., ltd.",2,3947
rolls-royce,aa-iva,aa-iva,rolls-royce mc (gb),56,3997
rolls-royce,aa-iva,aa-iva,rolls-royce motor cars ltd.,1,3997
rolls-royce,aa-iva,aa-iva,rolls-royce(gb),1,3997
rolls-royce,aa-iva,aa-iva,rolls royce,5,3997
rolls-royce,rolls-royce motor cars ltd,duplicate,rolls royce,1,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,,54,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls-royce,86,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls-royce mc (gb),770,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls-royce motor cars limited,9,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls-royce motor cars ltd,177,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls-royce motor cars ltd.,60,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,"rolls-royce motor cars ltd., u",8,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,"rolls-royce motor cars ltd., v",3,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls-royse motor cars ltd.,1,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls royce,2666,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls royce motor cars,90,3997
rolls-royce,rolls-royce motor cars ltd,rolls royce,rolls royce motors car ltd,8,3997
rolls-royce,rolls-royce motors cars ltd,rolls royce,rolls royce,1,3997
alpina,aa-iva,aa-iva,alpina,32,4035
alpina,aa-nss,aa-nss,alpina,15,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,,4,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina,3881,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina b. bovensiepen gmbh + c,3,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina b. bovensiepen gmbh + co.kg,11,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,"alpina b. bovensiepen gmbh + co.kg, srn",11,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina burkard bovensiepen,3,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina burkard bovensiepen gmb,6,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina burkard bovensiepen gmbh + co.,7,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina burkard bovensiepen gmbh + co. kg,2,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina burkard bovensiepen gmbh and co.,5,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina burkard bovensiepen gmbh e co kg,34,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,alpina burkard bovensiepen gmbh+co. kg,3,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,"alpina, b.bovensiepen gmbh+co.",2,4035
alpina,alpina burkard bovensiepen gmbh e co kg,alpina,other british,9,4035
alpina,alpina burkard bovensiepen gmbh e co kg,unknown,alpina,2,4035
alpina,aa-iva,aa-iva,alpina burkhard bovensiepen gmbh + co.kg,5,4035
dr motor,dr motor company srl,dr motor,,1,4207
dr motor,dr motor company srl,dr motor,dr automobiles srl,1050,4207
dr motor,dr motor company srl,dr motor,dr motor company,3154,4207
dr motor,dr motor company srl,dr motor,dr motor d3 c 05,1,4207
dr motor,dr motor company srl,dr motor,dr motor s8 a 02,1,4207
lotus,aa-iva,aa-iva,lotus,8,4420
lotus,aa-nss,aa-nss,lotus,37,4420
lotus,lotus cars limited,lotus,,26,4420
lotus,lotus cars limited,lotus,lotus,2109,4420
lotus,lotus cars limited,lotus,lotus (gb),832,4420
lotus,lotus cars limited,lotus,lotus cars limited,23,4420
lotus,lotus cars limited,lotus,lotus cars ltd,884,4420
lotus,lotus cars limited,lotus,lotus cars ltd.,415,4420
lotus,lotus cars limited,lotus,lotus cars ltd. 111 7 a,1,4420
lotus,lotus cars limited,lotus,lotus elise s 1119 a,1,4420
lotus,lotus cars limited,lotus,lotus europa 1211a,1,4420
lotus,aa-iva,aa-iva,lotus (gb),30,4420
lotus,lotus cars limited,unknown,lotus (gb),41,4420
lotus,aa-iva,aa-iva,lotus cars ltd.,12,4420
bluecar,bluecar sas,bluecar,automobiles citroen,1,4625
bluecar,bluecar sas,bluecar,bluecar (f),27,4625
bluecar,bluecar sas,bluecar,bluecar s.a.s,1098,4625
bluecar,bluecar sas,bluecar,bluecar s.a.s.,3079,4625
bluecar,bluecar sas,bluecar,citroen (f),10,4625
bluecar,bluecar sas,bluecar,sonst.kfz.hersteller,10,4625
bluecar,bluecar italy srl,bluecar italy,bluecar italy srl,358,4625
bluecar,bluecar italy srl,bluecar italy,bluecar s.a.s.,8,4625
bluecar,automobiles citroen,automobiles citroen,bluecar s.a.s.,34,4625
lamborghini,aa-iva,aa-iva,lamborghini,5,5339
lamborghini,aa-nss,aa-nss,lamborghini,27,5339
lamborghini,aa-nss,lamborghini,lamborghini,11,5339
lamborghini,automobili lamborghini sp,lamborghini,,1,5339
lamborghini,automobili lamborghini spa,lamborghini,,47,5339
lamborghini,automobili lamborghini spa,lamborghini,automobili lamborghini,358,5339
lamborghini,automobili lamborghini spa,lamborghini,automobili lamborghini s.,47,5339
lamborghini,automobili lamborghini spa,lamborghini,automobili lamborghini s.p.a.,275,5339
lamborghini,automobili lamborghini spa,lamborghini,"automobili lamborghini s.p.a., italie",3,5339
lamborghini,automobili lamborghini spa,lamborghini,automobili lamborghini spa,733,5339
lamborghini,automobili lamborghini spa,lamborghini,automobili lamborghini spa 140 d 4sac,2,5339
lamborghini,automobili lamborghini spa,lamborghini,benye,1,5339
lamborghini,automobili lamborghini spa,lamborghini,lamborghini,2134,5339
lamborghini,automobili lamborghini spa,lamborghini,lamborghini (i),1584,5339
lamborghini,automobili lamborghini spa,lamborghini,lamborghini sa,1,5339
lamborghini,automobili lamborghini spa,out of scope,lamborghini,1,5339
lamborghini,aa-iva,aa-iva,lamborghini (i),55,5339
lamborghini,automobili lamborghini spa,aa-iva,lamborghini (i),1,5339
lamborghini,automobili lamborghini spa,out of scope,lamborghini (i),2,5339
lamborghini,automobili lamborghini spa,unknown,lamborghini (i),24,5339
lamborghini,automobili lamborghini spa,out of scope,,3,5339
lamborghini,automobili lamborghini spa,out of scope,automobili lamborghini s.p.a.,2,5339
lamborghini,aa-iva,aa-iva,automobili lamborghini s.p.a.,22,5339
chevrolet,aa-iva,aa-iva,chevrolet gmc,5,5819
chevrolet,chevrolet italia,chevrolet italia,chevrolet itã¡lia s.p.a.,429,5819
chevrolet,chevrolet italia,chevrolet italia,chevrolet italia s.p.a.,4498,5819
chevrolet,chevrolet italia,chevrolet italia,chevrolet italia s.p.a. chis sh1ab/a115,2,5819
chevrolet,chevrolet italia,chevrolet italia,gm daewoo-chevrolet italia spa,19,5819
chevrolet,chevrolet italia,gm korea company,,10,5819
chevrolet,chevrolet italia spa,chevrolet italia,,119,5819
chevrolet,chevrolet italia spa,chevrolet italia,chevrolet,25,5819
chevrolet,chevrolet italia spa,chevrolet italia,chevrolet itã¡lia s.p.a.,336,5819
chevrolet,chevrolet italia spa,chevrolet italia,chevrolet italia s.p.a.,361,5819
chevrolet,chevrolet italia spa,chevrolet italia,"gm korea company, 233, bupyeong-daero, bupyeong-gu, incheon, korea",2,5819
chevrolet,general motors company,general motors company,chevrolet (usa),5,5819
chevrolet,general motors company,general motors company,chevrolet gmc,3,5819
chevrolet,general motors company,gm korea company,chevrolet (usa),4,5819
chevrolet,general motors company,unknown,chevrolet (usa),1,5819
lada,aa-iva,aa-iva,lada,8,6597
lada,aa-iva,unknown,lada,1,6597
lada,aa-nss,aa-nss,lada,6,6597
lada,avtovaz,avtovaz,lada,29,6597
lada,avtovaz jsc,avtovaz,lada,1649,6597
lada,avtovaz jsc,duplicate,lada,1,6597
lada,lada automobile gmbh,lada,avtovaz,3,6597
lada,lada automobile gmbh,lada,avtovaz (rus),11,6597
lada,lada automobile gmbh,lada,cs autolada spol. s.r.o.,3,6597
lada,lada automobile gmbh,lada,lada,3673,6597
lada,lada automobile gmbh,lada,lada automobile gmbh,271,6597
lada,lada automobile gmbh,lada,oao avtovaz,4,6597
lada,lada automobile gmbh,lada ,,11,6597
lada,lada automobile gmbh,lada ,lada,831,6597
lada,lada automobile gmbh,lada ,lada automobile gmbh,75,6597
lada,lada automobile gmbh,unknown,lada,1,6597
lada,lada france,lada france,lada,1,6597
lada,morgan motor co ltd,morgan,lada,1,6597
lada,unknown,unknown,lada,1,6597
lada,lada france,lada france,lada france,14,6597
lada,lada france sas,lada france,lada france,1,6597
lada,duplicate,duplicate,"skoda auto a.s., mlada bolesla",2,6597
m.t.m.,automobiles citroen,automobiles citroen,m.t.m.,2769,10597
m.t.m.,automobiles peugeot,automobiles peugeot,m.t.m.,7828,10597
maruti (ind),aa-iva,aa-iva,maruti (ind),3,11475
maruti (ind),maruti suzuki india ltd,duplicate,maruti (ind),3,11475
maruti (ind),maruti suzuki india ltd,maruti suzuki,maruti (ind),11464,11475
maruti (ind),maruti suzuki india ltd,out of scope,maruti (ind),4,11475
maruti (ind),maruti suzuki india ltd,unknown,maruti (ind),1,11475
aston martin,aa-iva,aa-iva,aston martin,3,11701
aston martin,aa-nss,aa-nss,aston martin,17,11701
aston martin,aston martin,aston martin,,2,11701
aston martin,aston martin lagonda ltd,aston martin,,97,11701
aston martin,aston martin lagonda ltd,aston martin,aston martin,7751,11701
aston martin,aston martin lagonda ltd,aston martin,aston martin (gb),2377,11701
aston martin,aston martin lagonda ltd,aston martin,aston martin lagonda,575,11701
aston martin,aston martin lagonda ltd,aston martin,aston martin lagonda ld,4,11701
aston martin,aston martin lagonda ltd,aston martin,aston martin lagonda limited,414,11701
aston martin,aston martin lagonda ltd,aston martin,aston martin lagonda ltd,365,11701
aston martin,aston martin lagonda ltd,aston martin,aston martin lagonda ltd.,1,11701
aston martin,aston martin lagonda ltd,aston martin,n/a,1,11701
aston martin,aston martin lagonda ltd,out of scope,aston martin,2,11701
aston martin,aa-iva,aa-iva,aston martin (gb),45,11701
aston martin,aston martin lagonda ltd,duplicate,aston martin (gb),2,11701
aston martin,aston martin lagonda ltd,unknown,aston martin (gb),9,11701
aston martin,toyota motor europe nv sa,unknown,aston martin lagonda,2,11701
aston martin,out of scope,out of scope,aston martin lagonda ld,4,11701
aston martin,aa-iva,aa-iva,aston martin lagonda ltd,1,11701
aston martin,aston martin lagonda ltd,duplicate,aston martin lagonda limited,1,11701
aston martin,aston martin lagonda ltd,duplicate,aston martin lagonda ltd,1,11701
aston martin,aston martin lagonda ltd,out of scope,aston martin lagonda ltd.,1,11701
aston martin,aston martin lagonda ltd,unknwon,,1,11701
aston martin,aa-iva,aa-iva,aston martin lagonda limited,25,11701
general motors,general motors company,general motors company,general motors,6,11903
general motors,general motors company,general motors company,general motors co.,13,11903
general motors,general motors holdings llc,duplicate,general motors co.,1,11903
general motors,aa-iva,aa-iva,general motors (usa),34,11903
general motors,general motors holdings llc,duplicate,general motors (usa),3,11903
general motors,general motors holdings llc,general motors holdings,general motors (usa),4170,11903
general motors,aa-iva,aa-iva,general motors company,21,11903
general motors,general motors company,general motors company,,2054,11903
general motors,general motors company,general motors company,buick,1,11903
general motors,general motors company,general motors company,chevrolet,236,11903
general motors,general motors company,general motors company,chevrolet gmt820 aaaa aaaaaaaaa,1,11903
general motors,general motors company,general motors company,corvette,1,11903
general motors,general motors company,general motors company,general motors company,3476,11903
general motors,general motors company,general motors company,"general motors company, detroit, usa",4,11903
general motors,general motors company,general motors company,general motors corporation,56,11903
general motors,general motors company,general motors company,general motors holdings llc,88,11903
general motors,general motors company,general motors company,gm corporation gmx245 abaa accbbaaba,1,11903
general motors,general motors company,general motors company,gm daewoo auto & technology company,15,11903
general motors,general motors corporatio,general motors company,,7,11903
general motors,general motors holdings llc,general motors holdings,general motors company,55,11903
general motors,general motors holdings llc ,general motors holdings,general motors company,52,11903
general motors,aa-iva,aa-iva,general motors holdings,189,11903
general motors,general motors holdings llc,general motors holdings,,10,11903
general motors,general motors holdings llc,general motors holdings,chevrolet,160,11903
general motors,general motors holdings llc,general motors holdings,general motors corporation,9,11903
general motors,general motors holdings llc,general motors holdings,general motors holding llc,1,11903
general motors,general motors holdings llc,general motors holdings,general motors holdings,1,11903
general motors,general motors holdings llc,general motors holdings,general motors holdings llc,1202,11903
general motors,general motors holdings llc ,general motors holdings,,9,11903
general motors,general motors holdings llc ,general motors holdings,general motors corporation,6,11903
general motors,general motors holdings llc ,general motors holdings,general motors holdings llc,9,11903
general motors,general motors holdings llc ,general motors holdings,general motors holdings llc ,2,11903
general motors,general motors holdings llc ,general motors holdings,general motors holdings llc / î·ï€î±,1,11903
general motors,aa-iva,aa-iva,general motors holding llc,2,11903
general motors,aa-iva,aa-iva,general motors holdings llc,5,11903
general motors,general motors holdings llc,duplicate,general motors holdings llc,2,11903
vaz,avtovaz jsc,avtovaz,vaz,1,14164
vaz,aa-iva,aa-iva,avtovaz,4,14164
vaz,autovaz,avtovaz,oao avtovaz,35,14164
vaz,avtovaz,avtovaz,,269,14164
vaz,avtovaz,avtovaz,avtovaz,129,14164
vaz,avtovaz,avtovaz,avtovaz (rus),1519,14164
vaz,avtovaz,avtovaz,lada france,134,14164
